edge_id,u,source_port,v,target_port,bad_source_port,bad_target_port,T00,T01,T02,T10,T11,T12,T20,T21,T22
0,0,0,18,1,1,3,0,1,2,1,0,0,0,1,3
1,0,1,20,0,3,2,0,1,0,1,0,1,2,0,3
2,0,2,2,3,1,0,1,2,1,2,0,1,0,0,1
3,0,3,9,2,0,3,1,2,3,1,3,2,0,0,1
4,1,0,13,1,3,2,0,1,1,1,0,0,0,2,3
5,1,1,2,0,0,1,0,1,0,1,0,2,0,0,1
6,1,2,3,3,1,2,1,2,1,3,2,1,0,0,1
7,1,3,17,2,1,3,1,2,3,3,2,1,0,0,1
8,2,1,18,0,3,2,0,1,0,1,0,1,2,0,3
9,2,2,11,3,3,1,1,1,1,2,3,1,0,0,1
10,3,0,17,1,3,3,0,1,2,1,0,0,0,2,1
11,3,1,21,0,2,2,0,1,0,1,0,0,2,0,1
12,3,2,5,3,1,2,1,2,1,3,2,1,0,0,1
13,4,0,10,1,1,2,0,0,1,1,0,0,0,1,2
14,4,1,25,0,3,2,0,1,0,1,0,1,2,0,3
15,4,2,18,3,1,1,1,0,1,2,1,1,0,0,1
16,4,3,8,2,1,3,1,2,3,3,2,1,0,0,1
17,5,0,29,1,3,2,0,1,1,1,0,0,0,2,3
18,5,1,15,0,3,2,0,1,0,1,0,1,2,0,3
19,5,2,12,3,3,0,1,2,1,3,3,1,0,0,1
20,6,0,15,1,1,0,0,1,2,1,0,0,0,0,1
21,6,1,22,0,3,1,0,1,0,1,0,2,3,0,3
22,6,2,21,3,1,1,1,0,1,2,1,1,0,0,1
23,6,3,16,2,2,0,1,2,3,3,3,0,0,0,1
24,7,0,16,1,1,0,0,1,2,1,0,0,0,0,1
25,7,1,27,0,3,1,0,1,0,1,0,2,3,0,3
26,7,2,25,3,1,2,1,2,1,3,2,1,0,0,1
27,7,3,13,2,0,3,1,2,3,1,3,2,0,0,1
28,8,0,21,1,3,3,0,1,2,1,0,0,0,2,1
29,8,1,10,0,3,3,0,1,0,1,0,2,2,0,1
30,8,3,12,2,1,0,1,2,3,2,0,2,0,0,1
31,9,0,22,1,1,0,0,1,2,1,0,0,0,0,1
32,9,1,19,0,2,3,0,1,0,1,0,2,3,0,2
33,9,3,14,2,0,1,0,1,1,1,2,3,0,0,1
34,10,2,19,3,1,1,1,0,1,2,1,1,0,0,1
35,10,3,24,2,0,1,0,1,1,1,2,3,0,0,1
36,11,0,23,1,1,2,0,0,1,1,0,0,0,1,2
37,11,1,26,0,3,3,0,1,0,1,0,2,2,0,1
38,11,2,16,3,0,1,0,1,1,1,2,1,0,0,1
39,12,0,28,1,2,0,0,1,2,1,0,0,0,2,0
40,12,1,23,0,2,3,0,1,0,1,0,2,3,0,2
41,13,0,25,1,3,0,0,1,2,1,0,0,0,3,3
42,13,3,23,2,1,0,1,2,3,2,0,2,0,0,1
43,14,0,19,1,3,3,0,1,2,1,0,0,0,2,1
44,14,1,29,0,0,3,0,1,0,1,0,2,1,0,3
45,14,3,25,2,2,0,1,2,3,3,3,0,0,0,1
46,15,2,27,3,1,2,1,2,1,3,2,1,0,0,1
47,15,3,29,2,1,0,1,2,3,2,0,2,0,0,1
48,16,0,26,1,3,2,0,1,1,1,0,0,0,2,3
49,17,0,24,1,2,0,0,1,2,1,0,0,0,2,0
50,17,3,26,2,2,0,1,2,3,3,3,0,0,0,1
51,18,2,29,3,1,0,1,2,1,2,0,1,0,0,1
52,19,2,26,3,0,0,1,2,1,0,1,1,0,0,1
53,20,1,28,0,0,2,0,1,0,0,0,1,1,0,2
54,20,2,24,3,0,2,1,2,1,1,3,1,0,0,1
55,20,3,27,2,1,0,1,2,3,2,0,2,0,0,1
56,21,2,22,3,0,0,1,2,1,0,1,1,0,0,1
57,22,2,28,3,0,2,1,2,1,1,3,1,0,0,1
58,23,3,28,2,2,0,1,2,3,3,3,0,0,0,1
59,24,0,27,1,2,0,0,1,2,1,0,0,0,2,0
